Aikaväli;Tue 06:00;Wed 06:00;Thu 06:00;Fri 06:00;Sat 06:00;Sun 06:00;Mon 06:00
Vko 1;0;282;504;430;253;231;687
Vko 2;732;354;377;127;107;155;505
Vko 3;701;387;277;144;114;147;536
Vko 4;602;359;225;192;108;141;594
Vko 5;407;282;220;180;122;207;656
Vko 6;167;199;211;175;122;192;642
Vko 7;472;321;81;138;132;127;555
Vko 8;206;213;184;157;98;161;479
Vko 9;170;153;106;85;89;101;408
Vko 10;63;66;62;49;36;39;212
Vko 11;223;117;95;56;55;67;373
Vko 12;74;113;79;49;40;37;190
Vko 13;75;50;45;31;24;35;114
Vko 14;34;41;25;11;11;8;43
