Tunti;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
Vko 1;33;22;2;0;0;3;4;10;20;89;106;115;150;151;216;231;343;206;172;131;112;116;104;51
Vko 2;40;30;20;18;3;4;0;10;7;43;62;89;169;257;263;250;171;190;176;124;149;128;95;59
Vko 3;48;33;16;11;13;4;6;11;22;44;72;107;141;210;250;227;189;154;145;138;141;141;104;79
Vko 4;52;44;17;17;6;3;10;8;22;36;65;107;163;206;188;221;199;179;113;145;157;101;95;67
Vko 5;68;35;16;15;10;4;1;6;18;34;75;74;110;178;206;156;184;172;159;126;130;110;101;86
Vko 6;51;39;15;14;16;7;1;5;11;18;43;68;93;130;135;138;139;127;104;113;119;140;104;78
Vko 7;55;28;13;12;5;2;1;5;18;35;67;84;89;119;155;173;164;161;137;91;136;96;87;93
Vko 8;41;28;22;17;3;5;0;0;8;26;44;66;93;107;113;147;121;120;136;95;74;90;78;64
Vko 9;44;16;13;6;5;7;0;4;5;13;31;48;56;66;111;86;89;84;101;73;93;61;60;40
Vko 10;20;13;7;1;6;3;0;1;5;14;13;14;34;22;35;55;50;36;42;26;33;37;42;18
Vko 11;23;25;10;12;5;5;0;1;3;20;39;36;50;81;110;78;88;65;56;53;64;55;51;56
Vko 12;15;16;13;8;8;0;1;0;2;9;19;31;30;39;37;45;52;46;34;29;37;37;45;29
Vko 13;5;11;5;5;4;1;0;1;5;3;7;12;31;20;29;35;32;28;26;30;16;35;22;11
Vko 14;7;0;2;3;0;0;1;3;0;2;3;8;9;9;22;12;12;16;13;12;10;11;10;8
