Palautuksia tuli yhteensä 20131, 60 eri tehtävään.
Viikkotehtäviin tuli keskimäärin 335 palautusta.
Eniten palautuksia, 492, tuli viikkotehtävään L03-T1.
Vähiten palautuksia, 16, tuli viikkotehtävään L14-T2.

Tehtävä;Lukumäärä
L01-T1;484
L01-T2;482
L01-T3;479
L01-T4;475
L01-T5;467
L02-T1;490
L02-T2;482
L02-T3;467
L02-T4;462
L02-T5;456
L03-T1;492
L03-T2;476
L03-T3;464
L03-T4;443
L03-T5;431
L04-T1;473
L04-T2;454
L04-T3;452
L04-T4;418
L04-T5;424
L05-T1;462
L05-T2;441
L05-T3;426
L05-T4;379
L05-T5;366
L06-T1;414
L06-T2;382
L06-T3;364
L06-T4;292
L06-T5;256
L07-T1;407
L07-T2;400
L07-T3;361
L07-T4;336
L07-T5;322
L08-T1;403
L08-T2;361
L08-T3;348
L08-T4;134
L08-T5;252
L09-T1;346
L09-T2;321
L09-T3;235
L09-T4;210
L10-T1;204
L10-T2;168
L10-T3;155
L11-T1;299
L11-T2;287
L11-T3;263
L11-T4;137
L12-T1;248
L12-T2;252
L12-T3;82
L13-T1;187
L13-T2;125
L13-T3;62
L14-T1;122
L14-T2;16
L14-T3;35
